term,gene
Adipocytokine signaling pathway,IRS2
Adrenergic signaling in cardiomyocytes,CACNA1F
Adrenergic signaling in cardiomyocytes,KCNQ1
Adrenergic signaling in cardiomyocytes,CACNG7
Adrenergic signaling in cardiomyocytes,SCN1B
Adrenergic signaling in cardiomyocytes,PPP1CA
Adrenergic signaling in cardiomyocytes,ADRA1A
Adrenergic signaling in cardiomyocytes,ATP1A1
Adrenergic signaling in cardiomyocytes,PLCB4
Adrenergic signaling in cardiomyocytes,ATF4
Adrenergic signaling in cardiomyocytes,ADRA1B
Adrenergic signaling in cardiomyocytes,MAPK1
Adrenergic signaling in cardiomyocytes,ATP1B1
Adrenergic signaling in cardiomyocytes,CACNA2D1
Adrenergic signaling in cardiomyocytes,CACNG8
Adrenergic signaling in cardiomyocytes,KCNE1
Adrenergic signaling in cardiomyocytes,CACNB1
Adrenergic signaling in cardiomyocytes,ADRA1D
Adrenergic signaling in cardiomyocytes,PIK3CG
Adrenergic signaling in cardiomyocytes,SCN7A
Adrenergic signaling in cardiomyocytes,CACNA2D2
Adrenergic signaling in cardiomyocytes,MAPK13
Adrenergic signaling in cardiomyocytes,ATP2A2
Adrenergic signaling in cardiomyocytes,CACNG1
Adrenergic signaling in cardiomyocytes,AGTR1
Adrenergic signaling in cardiomyocytes,CREB3L3
Adrenergic signaling in cardiomyocytes,PPP2R1B
Adrenergic signaling in cardiomyocytes,SCN5A
Adrenergic signaling in cardiomyocytes,PPP2R5A
Adrenergic signaling in cardiomyocytes,CALML6
Adrenergic signaling in cardiomyocytes,GNAI1
Adrenergic signaling in cardiomyocytes,GNAI3
Adrenergic signaling in cardiomyocytes,TNNI3
Adrenergic signaling in cardiomyocytes,PPP2R3A
Adrenergic signaling in cardiomyocytes,ATP1B2
Adrenergic signaling in cardiomyocytes,KCNE1B
Adrenergic signaling in cardiomyocytes,CACNG2
Adrenergic signaling in cardiomyocytes,MAPK3
Adrenergic signaling in cardiomyocytes,PPP2R5D
Adrenergic signaling in cardiomyocytes,PPP2R3C
Adrenergic signaling in cardiomyocytes,PPP2R5B
Adrenergic signaling in cardiomyocytes,GNAI2
Adrenergic signaling in cardiomyocytes,CACNG3
Adrenergic signaling in cardiomyocytes,MYH6
Adrenergic signaling in cardiomyocytes,AGTR2
Adrenergic signaling in cardiomyocytes,ATP1A2
Adrenergic signaling in cardiomyocytes,TPM3
Adrenergic signaling in cardiomyocytes,CACNA1D
Adrenergic signaling in cardiomyocytes,PPP2R3B
Adrenergic signaling in cardiomyocytes,AKT1
Adrenergic signaling in cardiomyocytes,AGT
Adrenergic signaling in cardiomyocytes,PRKACB
Adrenergic signaling in cardiomyocytes,TPM4
Adrenergic signaling in cardiomyocytes,PLN
Adrenergic signaling in cardiomyocytes,SLC8A1
Adrenergic signaling in cardiomyocytes,SCN4B
Adrenergic signaling in cardiomyocytes,PPP2CA
Adrenergic signaling in cardiomyocytes,CREM
Adrenergic signaling in cardiomyocytes,ADCY8
Adrenergic signaling in cardiomyocytes,PPP1R1A
Adrenergic signaling in cardiomyocytes,PRKACA
Adrenergic signaling in cardiomyocytes,PPP2R2C
Adrenergic signaling in cardiomyocytes,PPP1CC
Adrenergic signaling in cardiomyocytes,CALML3
Adrenergic signaling in cardiomyocytes,PPP2R2B
Adrenergic signaling in cardiomyocytes,PPP2R1A
Adrenergic signaling in cardiomyocytes,ADCY9
Adrenergic signaling in cardiomyocytes,AKT2
Adrenergic signaling in cardiomyocytes,ATF2
Adrenergic signaling in cardiomyocytes,CACNG6
Adrenergic signaling in cardiomyocytes,CACNB4
Adrenergic signaling in cardiomyocytes,MYL2
Adrenergic signaling in cardiomyocytes,CREB1
Adrenergic signaling in cardiomyocytes,TPM1
Adrenergic signaling in cardiomyocytes,PLCB2
Adrenergic signaling in cardiomyocytes,GNAS
Adrenergic signaling in cardiomyocytes,CACNG5
Adrenergic signaling in cardiomyocytes,RYR2
Adrenergic signaling in cardiomyocytes,CALML4
Adrenergic signaling in cardiomyocytes,MAPK12
Adrenergic signaling in cardiomyocytes,CAMK2B
Adrenergic signaling in cardiomyocytes,MAPK14
Adrenergic signaling in cardiomyocytes,PIK3R6
Adrenergic signaling in cardiomyocytes,BCL2
Adrenergic signaling in cardiomyocytes,CACNB2
Adrenergic signaling in cardiomyocytes,CALML5
Adrenergic signaling in cardiomyocytes,ATP2B3
Adrenergic signaling in cardiomyocytes,MYL4
Adrenergic signaling in cardiomyocytes,CAMK2D
Adrenergic signaling in cardiomyocytes,ADCY3
Adrenergic signaling in cardiomyocytes,SLC9A1
Adrenergic signaling in cardiomyocytes,ATP1A3
Adrenergic signaling in cardiomyocytes,PRKACG
Adrenergic signaling in cardiomyocytes,ACTC1
Adrenergic signaling in cardiomyocytes,ADRB2
Adrenergic signaling in cardiomyocytes,TNNC1
Adrenergic signaling in cardiomyocytes,PPP2R5E
Adrenergic signaling in cardiomyocytes,RPS6KA5
Adrenergic signaling in cardiomyocytes,CREB3L1
Adrenergic signaling in cardiomyocytes,CACNG4
Adrenergic signaling in cardiomyocytes,CALM3
Adrenergic signaling in cardiomyocytes,GNAQ
Adrenergic signaling in cardiomyocytes,TNNT2
Adrenergic signaling in cardiomyocytes,CREB3L4
Adrenergic signaling in cardiomyocytes,PRKCA
Adrenergic signaling in cardiomyocytes,CACNA1S
